term_en,canonical_key,term_group,output_policy,explain_on_first_use_vi,notes_vi
Bench Press,barbell_chest_press,exercise_name,always_keep_english,,Luôn giữ nguyên tiếng Anh khi xuất hiện trong câu trả lời.
Incline Dumbbell Press,upper_chest_press,exercise_name,always_keep_english,,Dùng cho upper chest.
Decline Bench Press,lower_chest_press,exercise_name,always_keep_english,,
Cable Fly,chest_fly,exercise_name,always_keep_english,,
Push-Up,bodyweight_push,exercise_name,always_keep_english,,
Overhead Press,vertical_press,exercise_name,always_keep_english,,
Arnold Press,shoulder_press,exercise_name,always_keep_english,,
Lateral Raise,side_delt_isolation,exercise_name,always_keep_english,,
Rear Delt Fly,rear_delt_isolation,exercise_name,always_keep_english,,
Barbell Row,horizontal_pull,exercise_name,always_keep_english,,
Seated Cable Row,horizontal_pull,exercise_name,always_keep_english,,
Lat Pulldown,vertical_pull,exercise_name,always_keep_english,,
Pull-Up,vertical_pull,exercise_name,always_keep_english,,
Deadlift,hip_hinge,exercise_name,always_keep_english,,
Romanian Deadlift,hip_hinge,exercise_name,always_keep_english,,
Squat,knee_dominant,exercise_name,always_keep_english,,
Front Squat,knee_dominant,exercise_name,always_keep_english,,
Leg Press,knee_dominant,exercise_name,always_keep_english,,
Leg Extension,quad_isolation,exercise_name,always_keep_english,,
Leg Curl,hamstring_isolation,exercise_name,always_keep_english,,
Calf Raise,calf_isolation,exercise_name,always_keep_english,,
Hip Thrust,glute_dominant,exercise_name,always_keep_english,,
Walking Lunge,single_leg,exercise_name,always_keep_english,,
Bulgarian Split Squat,single_leg,exercise_name,always_keep_english,,
Barbell Curl,biceps_isolation,exercise_name,always_keep_english,,
Incline Dumbbell Curl,biceps_isolation,exercise_name,always_keep_english,,
Hammer Curl,biceps_brachialis,exercise_name,always_keep_english,,
Preacher Curl,biceps_isolation,exercise_name,always_keep_english,,
Cable Curl,biceps_isolation,exercise_name,always_keep_english,,
Triceps Pushdown,triceps_isolation,exercise_name,always_keep_english,,
Overhead Triceps Extension,triceps_isolation,exercise_name,always_keep_english,,
Skull Crusher,triceps_isolation,exercise_name,always_keep_english,,
Close-Grip Bench Press,triceps_compound,exercise_name,always_keep_english,,
Plank,core_stability,exercise_name,always_keep_english,,
Hanging Leg Raise,core,exercise_name,always_keep_english,,
Crunch,core,exercise_name,always_keep_english,,
Russian Twist,core,exercise_name,always_keep_english,,
Brisk Walking,cardio,exercise_name,always_keep_english,,
Cycling,cardio,exercise_name,always_keep_english,,
Incline Treadmill Walk,cardio,exercise_name,always_keep_english,,
Rowing,cardio,exercise_name,always_keep_english,,
sets,training_notation,metric,always_keep_english,,Không dịch thành hiệp.
reps,training_notation,metric,always_keep_english,,Không dịch thành lần.
rest,training_notation,metric,always_keep_english,,Có thể đi với đơn vị giây/phút bằng tiếng Việt.
volume,training_variable,metric,always_keep_english,,Không dịch thành khối lượng tập.
intensity,training_variable,metric,always_keep_english,,
frequency,training_variable,metric,always_keep_english,,
progressive overload,principle,term,always_keep_english,,
RPE,effort_scale,term,always_keep_english,,
RIR,effort_scale,term,always_keep_english,,
tempo,execution,term,always_keep_english,,
range of motion,execution,term,always_keep_english,,
warm-up,session_component,term,always_keep_english,,
cool-down,session_component,term,always_keep_english,,
compound,exercise_type,term,always_keep_english,,
isolation,exercise_type,term,always_keep_english,,
hypertrophy,goal,term,always_keep_english,,
strength,goal,term,always_keep_english,,
endurance,goal,term,always_keep_english,,
failure,effort,term,always_keep_english,,
deload,periodization,term,always_keep_english,,
superset,method,term,always_keep_english,,
drop set,method,term,always_keep_english,,
maintenance calories,nutrition,term,always_keep_english,,
calorie deficit,nutrition,term,always_keep_english,,
calorie surplus,nutrition,term,always_keep_english,,
protein,nutrition,term,always_keep_english,,
carbs,nutrition,term,always_keep_english,,
fats,nutrition,term,always_keep_english,,
macro,nutrition,term,always_keep_english,,
meal prep,nutrition,term,always_keep_english,,
chest,muscle_group,muscle,always_keep_english,,
back,muscle_group,muscle,always_keep_english,,
lats,muscle_group,muscle,always_keep_english,,
shoulders,muscle_group,muscle,always_keep_english,,
biceps,muscle_group,muscle,always_keep_english,,"Tay trước -> biceps, không phải tay trái/tay phải."
triceps,muscle_group,muscle,always_keep_english,,Tay sau -> triceps.
forearms,muscle_group,muscle,always_keep_english,,
quads,muscle_group,muscle,always_keep_english,,
hamstrings,muscle_group,muscle,always_keep_english,,
glutes,muscle_group,muscle,always_keep_english,,
calves,muscle_group,muscle,always_keep_english,,
abs,muscle_group,muscle,always_keep_english,,
